zip,compid,compname,comrate,indrate,resrate
63330,19436,Union Electric Co.,56.56,41.72,69.64
64451,12698,Aquila Inc.,68.63,52.06,84.81
15677,14711,Pennsylvania Electric Co.,78.89,58.78,90.82
49411,4254,Consumers Energy Co.,84.9,65.38,95.35
62960,3253,Central Illinois Public Services Co.,63.43,39.23,72.64
41543,22053,Kentucky Power Co.,67.59,42.47,64.98
8515,15477,Public Service Electric and Gas Co.,112.66,78.12,127.91
13413,13573,"Niagara Mohawk, a National Grid Co.",143.48,183.05,149.78
39040,12685,"Entergy Mississippi, Inc.",102.61,80.37,105.3
87059,15473,Public Service Co. of New Mexico,70.15,47.1,80.38
4416,3266,Central Maine Power Co.,129.63,0,144.58
27597,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
32714,6455,Florida Power Corp.,95.25,83.1,117.91
18040,12390,Metropolitan Edison Co.,82.19,64.62,93.56
60102,4110,Commonwealth Edison Co.,76.48,55.66,86.59
66536,22500,Westar Energy Inc.,0,0,0
45874,4922,Dayton Power & Light Co.,75.88,63.79,94.01
58772,12819,Montana Dakota Utilities Co.,0,0,0
39176,12685,"Entergy Mississippi, Inc.",102.61,80.37,105.3
31057,7140,Georgia Power Co.,76.3,54.04,88.77
20508,15270,Potomac Electric Power Co.,116.6,0,116.65
6239,4176,Connecticut Light & Power Co.,148.18,124.12,174.86
6065,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
19967,5027,Delmarva Power & Light Co.,103.72,58.26,118.69
60963,3253,Central Illinois Public Services Co.,63.43,39.23,72.64
12063,13573,"Niagara Mohawk, a National Grid Co.",143.48,183.05,149.78
80640,15466,PSC of Colorado,74.07,58.3,88.42
27870,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
19810,5027,Delmarva Power & Light Co.,103.72,58.26,118.69
58544,12819,Montana Dakota Utilities Co.,0,0,0
96031,14328,Pacific Gas and Electric Co.,138.5,104.03,146.13
49631,4254,Consumers Energy Co.,84.9,65.38,95.35
35203,195,Alabama Power Co.,81.85,49.23,89.32
21679,5027,Delmarva Power & Light Co.,103.72,58.26,118.69
93110,17609,Southern California Edison Co.,144.53,119.66,157.72
43214,4062,Columbus Southern Power Co.,68.9,51.29,87.05
34956,6452,Florida Power & Light Co.,106.06,88.71,119
58368,14232,Otter Tail Power Co.,64.49,50.72,74.26
32187,6452,Florida Power & Light Co.,106.06,88.71,119
72523,814,"Entergy Arkansas, Inc.",71.81,57.46,92.02
8097,963,Atlantic City Electric Co.,128.04,108.74,137.77
39210,12685,"Entergy Mississippi, Inc.",102.61,80.37,105.3
44657,14006,Ohio Power Co.,63.8,43.58,75.25
75840,17699,TXU SESCO Co.,0,0,0
59830,12825,"Clark Fork & Blackfoot, LLC",83.97,62.87,89.42
40242,11249,Louisville Gas & Electric Co.,60.72,43.68,67.58
11366,4226,Consolidated Edison Co. Of New York Inc.,183.69,168.22,209
34972,6452,Florida Power & Light Co.,106.06,88.71,119
27104,5416,Duke Power Co.,63.62,44.52,78.13
84057,14354,PacifiCorp.,59.39,40.36,69.43
46360,13756,Northern Indiana Public Service Co.,95.85,54.02,108.75
67658,12698,Aquila Inc.,68.63,52.06,84.81
75640,17698,Southwestern Electric Power Co.,58.87,47.59,72.21
93422,14328,Pacific Gas and Electric Co.,138.5,104.03,146.13
48859,4254,Consumers Energy Co.,84.9,65.38,95.35
42372,10171,Kentucky Utilities Co.,57.83,45.19,60.29
79259,20404,AEP Texas North Co.,0,0,0
17349,12390,Metropolitan Edison Co.,82.19,64.62,93.56
95634,14328,Pacific Gas and Electric Co.,138.5,104.03,146.13
15431,20387,West Penn Power Co.,61.26,47.16,71.66
48124,5109,Detroit Edison Co.,85.32,59.4,102.07
75501,17698,Southwestern Electric Power Co.,58.87,47.59,72.21
45365,4922,Dayton Power & Light Co.,75.88,63.79,94.01
26563,12796,Monongahela Power Co.,59.39,41.09,72.5
29596,3046,Carolina Power & Light Co.,74.34,57.46,90.23
84540,14354,PacifiCorp.,59.39,40.36,69.43
35079,195,Alabama Power Co.,81.85,49.23,89.32
6254,4176,Connecticut Light & Power Co.,148.18,124.12,174.86
59433,12825,"Clark Fork & Blackfoot, LLC",83.97,62.87,89.42
64150,10000,Kansas City Power & Light Co.,60.27,46.48,71
4443,3266,Central Maine Power Co.,129.63,0,144.58
79756,40051,Texas-New Mexico Power Co.,115.08,59.11,111.25
97707,14354,PacifiCorp.,59.39,40.36,69.43
71109,17698,Southwestern Electric Power Co.,58.87,47.59,72.21
29379,17539,South Carolina Electric & Gas Co.,78.48,50.81,98.64
97103,14354,PacifiCorp.,59.39,40.36,69.43
16352,14711,Pennsylvania Electric Co.,78.89,58.78,90.82
6035,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
42038,10171,Kentucky Utilities Co.,57.83,45.19,60.29
75126,A3483,Oncor Electric Delivery Co.,0,0,0
50675,12341,MidAmerican Energy Co.,65.04,40.61,86.15
8858,9726,Jersey Central Power & Light Co.,121.26,113.99,126.4
72732,17698,Southwestern Electric Power Co.,58.87,47.59,72.21
64152,12698,Aquila Inc.,68.63,52.06,84.81
60656,4110,Commonwealth Edison Co.,76.48,55.66,86.59
83813,20169,Avista Corp.,72.22,45.09,65.6
53105,20847,Wisconsin Electric Power Co.,89.44,58.91,106.79
98255,15500,"Puget Sound Energy, Inc.",80.14,75.83,74.95
62312,3253,Central Illinois Public Services Co.,63.43,39.23,72.64
89048,17609,Southern California Edison Co.,144.53,119.66,157.72
13367,13573,"Niagara Mohawk, a National Grid Co.",143.48,183.05,149.78
46507,13756,Northern Indiana Public Service Co.,95.85,54.02,108.75
31094,7140,Georgia Power Co.,76.3,54.04,88.77
52354,9162,Interstate Power & Light Co.,0,0,0
24319,733,Appalachian Power Co.,52.6,36.59,58.52
64020,12698,Aquila Inc.,68.63,52.06,84.81
58520,12819,Montana Dakota Utilities Co.,0,0,0
6060,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
70067,11241,"Entergy Louisiana, Inc.",93.77,63.43,92.2
3585,15472,PSC of New Hampshire,136.75,128.88,151.42
48817,4254,Consumers Energy Co.,84.9,65.38,95.35
91780,17609,Southern California Edison Co.,144.53,119.66,157.72
79080,17718,Southwestern Public Service Co.,76.73,54.1,82.84
36279,195,Alabama Power Co.,81.85,49.23,89.32
12454,3249,Central Hudson Gas & Electric Corp.,101.2,76.59,128.26
34269,6452,Florida Power & Light Co.,106.06,88.71,119
5350,7601,Green Mountain Power Corp.,109.59,75.73,132.56
20841,15270,Potomac Electric Power Co.,116.6,0,116.65
25111,733,Appalachian Power Co.,52.6,36.59,58.52
23487,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
17860,14715,PPL Electric Utilities Corp.,88.12,63.17,94.63
66086,22500,Westar Energy Inc.,0,0,0
61327,3252,Central Illinois Light Co.,65.82,52,69.39
55390,13781,Northern States Power Co.,69.79,57.42,89.95
13748,14711,Pennsylvania Electric Co.,78.89,58.78,90.82
75861,A3483,Oncor Electric Delivery Co.,0,0,0
92861,17609,Southern California Edison Co.,144.53,119.66,157.72
61325,9208,Illinois Power Co.,73.39,46.63,77.12
80747,15466,PSC of Colorado,74.07,58.3,88.42
45101,10171,Kentucky Utilities Co.,57.83,45.19,60.29
59601,12825,"Clark Fork & Blackfoot, LLC",83.97,62.87,89.42
13155,13573,"Niagara Mohawk, a National Grid Co.",143.48,183.05,149.78
18433,14715,PPL Electric Utilities Corp.,88.12,63.17,94.63
32118,6452,Florida Power & Light Co.,106.06,88.71,119
18510,14715,PPL Electric Utilities Corp.,88.12,63.17,94.63
25823,733,Appalachian Power Co.,52.6,36.59,58.52
66217,22500,Westar Energy Inc.,0,0,0
33034,6452,Florida Power & Light Co.,106.06,88.71,119
34117,6452,Florida Power & Light Co.,106.06,88.71,119
52768,12341,MidAmerican Energy Co.,65.04,40.61,86.15
94015,14328,Pacific Gas and Electric Co.,138.5,104.03,146.13
33707,6455,Florida Power Corp.,95.25,83.1,117.91
26263,12796,Monongahela Power Co.,59.39,41.09,72.5
71336,11241,"Entergy Louisiana, Inc.",93.77,63.43,92.2
30548,7140,Georgia Power Co.,76.3,54.04,88.77
23915,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
18360,9726,Jersey Central Power & Light Co.,121.26,113.99,126.4
29125,3046,Carolina Power & Light Co.,74.34,57.46,90.23
33607,18454,Tampa Electric Co.,96.85,76.54,109.71
67626,12698,Aquila Inc.,68.63,52.06,84.81
45371,4922,Dayton Power & Light Co.,75.88,63.79,94.01
51447,12341,MidAmerican Energy Co.,65.04,40.61,86.15
89557,17166,Sierra Pacific Power Co.,119,96.25,128.65
53532,11479,Madison Gas & Electric Co.,89.03,61.22,134.86
51648,12341,MidAmerican Energy Co.,65.04,40.61,86.15
7657,15477,Public Service Electric and Gas Co.,112.66,78.12,127.91
36051,195,Alabama Power Co.,81.85,49.23,89.32
49286,4254,Consumers Energy Co.,84.9,65.38,95.35
14055,13573,"Niagara Mohawk, a National Grid Co.",143.48,183.05,149.78
89134,13407,Nevada Power Co.,98.43,86.03,108
43413,14006,Ohio Power Co.,63.8,43.58,75.25
82201,14354,PacifiCorp.,59.39,40.36,69.43
44312,13998,Ohio Edison Co.,100.63,59.53,104.78
67581,10005,"KGE, A Westar Energy Co.",64.39,43.65,76.92
35119,195,Alabama Power Co.,81.85,49.23,89.32
12043,13573,"Niagara Mohawk, a National Grid Co.",143.48,183.05,149.78
1259,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
36276,195,Alabama Power Co.,81.85,49.23,89.32
39097,12685,"Entergy Mississippi, Inc.",102.61,80.37,105.3
66528,10000,Kansas City Power & Light Co.,60.27,46.48,71
15241,20387,West Penn Power Co.,61.26,47.16,71.66
24887,733,Appalachian Power Co.,52.6,36.59,58.52
5354,3292,Central Vermont Public Service Corp.,117.59,81.45,129.78
94720,14328,Pacific Gas and Electric Co.,138.5,104.03,146.13
97080,15248,Portland General Electric Co.,75.02,58.26,82.88
2780,11804,Massachusetts Electric Co.,160.29,159.57,154.32
66449,22500,Westar Energy Inc.,0,0,0
17844,14715,PPL Electric Utilities Corp.,88.12,63.17,94.63
25827,733,Appalachian Power Co.,52.6,36.59,58.52
33067,6452,Florida Power & Light Co.,106.06,88.71,119
28775,7140,Georgia Power Co.,76.3,54.04,88.77
24012,733,Appalachian Power Co.,52.6,36.59,58.52
78384,3278,AEP Texas Central Co.,0,0,0
77665,7806,"Entergy Gulf States, Inc.",100.28,76.33,110.31
40033,10171,Kentucky Utilities Co.,57.83,45.19,60.29
97347,14354,PacifiCorp.,59.39,40.36,69.43
43022,14006,Ohio Power Co.,63.8,43.58,75.25
29123,17539,South Carolina Electric & Gas Co.,78.48,50.81,98.64
79718,20404,AEP Texas North Co.,0,0,0
90272,17609,Southern California Edison Co.,144.53,119.66,157.72
79323,17718,Southwestern Public Service Co.,76.73,54.1,82.84
97438,14354,PacifiCorp.,59.39,40.36,69.43
20147,15270,Potomac Electric Power Co.,116.6,0,116.65
26293,12796,Monongahela Power Co.,59.39,41.09,72.5
94107,14328,Pacific Gas and Electric Co.,138.5,104.03,146.13
72073,814,"Entergy Arkansas, Inc.",71.81,57.46,92.02
79014,17718,Southwestern Public Service Co.,76.73,54.1,82.84
23488,5027,Delmarva Power & Light Co.,103.72,58.26,118.69
79518,20404,AEP Texas North Co.,0,0,0
50449,9162,Interstate Power & Light Co.,0,0,0
61254,9208,Illinois Power Co.,73.39,46.63,77.12
71101,17698,Southwestern Electric Power Co.,58.87,47.59,72.21
46105,15470,"Duke Energy Indiana, Inc.",66.42,49.77,81.92
67114,22500,Westar Energy Inc.,0,0,0
15618,20387,West Penn Power Co.,61.26,47.16,71.66
50135,9162,Interstate Power & Light Co.,0,0,0
74132,15474,PSC of Oklahoma,74.19,58.93,84.1
33417,6452,Florida Power & Light Co.,106.06,88.71,119
18086,14715,PPL Electric Utilities Corp.,88.12,63.17,94.63
24538,733,Appalachian Power Co.,52.6,36.59,58.52
54025,13780,Northern States Power Co. Wisconsin,72.11,53.77,92.67
78014,3278,AEP Texas Central Co.,0,0,0
7503,15477,Public Service Electric and Gas Co.,112.66,78.12,127.91
92061,17609,Southern California Edison Co.,144.53,119.66,157.72
30534,7140,Georgia Power Co.,76.3,54.04,88.77
18619,14711,Pennsylvania Electric Co.,78.89,58.78,90.82
42459,10171,Kentucky Utilities Co.,57.83,45.19,60.29
39305,12686,Mississippi Power Co.,81.56,51.04,101.26
57321,13781,Northern States Power Co.,69.79,57.42,89.95
17223,14711,Pennsylvania Electric Co.,78.89,58.78,90.82
2639,4089,Commonwealth Electric Co.,172.95,163.03,195.27
64848,5860,Empire District Electric Co.,74.74,56.59,83.94
80023,15466,PSC of Colorado,74.07,58.3,88.42
77656,7806,"Entergy Gulf States, Inc.",100.28,76.33,110.31
33037,6452,Florida Power & Light Co.,106.06,88.71,119
54016,13781,Northern States Power Co.,69.79,57.42,89.95
24328,733,Appalachian Power Co.,52.6,36.59,58.52
12989,13573,"Niagara Mohawk, a National Grid Co.",143.48,183.05,149.78
45002,3542,Cincinnati Gas & Electric Co.,83.68,62.01,94.67
51106,12341,MidAmerican Energy Co.,65.04,40.61,86.15
22560,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
2135,2886,Cambridge Electric Light Co.,171.59,164.96,211.38
77876,7806,"Entergy Gulf States, Inc.",100.28,76.33,110.31
93530,17609,Southern California Edison Co.,144.53,119.66,157.72
60912,4110,Commonwealth Edison Co.,76.48,55.66,86.59
22032,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
18066,14715,PPL Electric Utilities Corp.,88.12,63.17,94.63
71222,11241,"Entergy Louisiana, Inc.",93.77,63.43,92.2
61516,4110,Commonwealth Edison Co.,76.48,55.66,86.59
42326,10171,Kentucky Utilities Co.,57.83,45.19,60.29
33950,6452,Florida Power & Light Co.,106.06,88.71,119
99001,20169,Avista Corp.,72.22,45.09,65.6
39204,12685,"Entergy Mississippi, Inc.",102.61,80.37,105.3
45406,4922,Dayton Power & Light Co.,75.88,63.79,94.01
74764,15474,PSC of Oklahoma,74.19,58.93,84.1
66739,5860,Empire District Electric Co.,74.74,56.59,83.94
35210,195,Alabama Power Co.,81.85,49.23,89.32
24280,733,Appalachian Power Co.,52.6,36.59,58.52
15005,14716,Pennsylvania Power Co.,73.87,54.63,82.95
15829,14711,Pennsylvania Electric Co.,78.89,58.78,90.82
32609,6452,Florida Power & Light Co.,106.06,88.71,119
29475,17539,South Carolina Electric & Gas Co.,78.48,50.81,98.64
22488,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
92570,17609,Southern California Edison Co.,144.53,119.66,157.72
49339,4254,Consumers Energy Co.,84.9,65.38,95.35
3607,26510,Granite State Electric Co.,106.11,104.12,125.3
11359,4226,Consolidated Edison Co. Of New York Inc.,183.69,168.22,209
75044,A3483,Oncor Electric Delivery Co.,0,0,0
78566,3278,AEP Texas Central Co.,0,0,0
10601,4226,Consolidated Edison Co. Of New York Inc.,183.69,168.22,209
1810,11804,Massachusetts Electric Co.,160.29,159.57,154.32
14051,13573,"Niagara Mohawk, a National Grid Co.",143.48,183.05,149.78
61341,4110,Commonwealth Edison Co.,76.48,55.66,86.59
4605,1179,Bangor Hydro-Electric Co.,0,0,0
22656,15263,Potomac Edison Co.,80.14,52.31,69.2
70526,7806,"Entergy Gulf States, Inc.",100.28,76.33,110.31
70819,7806,"Entergy Gulf States, Inc.",100.28,76.33,110.31
21522,15263,Potomac Edison Co.,80.14,52.31,69.2
77477,8901,"CenterPoint Energy Houston Electric, LLC",0,0,0
11433,4226,Consolidated Edison Co. Of New York Inc.,183.69,168.22,209
46041,15470,"Duke Energy Indiana, Inc.",66.42,49.77,81.92
33444,6452,Florida Power & Light Co.,106.06,88.71,119
89512,17166,Sierra Pacific Power Co.,119,96.25,128.65
47611,17633,Southern Indiana Gas & Electric Co.,71.27,51.51,89.69
51650,12341,MidAmerican Energy Co.,65.04,40.61,86.15
61420,3253,Central Illinois Public Services Co.,63.43,39.23,72.64
50675,9162,Interstate Power & Light Co.,0,0,0
55388,13781,Northern States Power Co.,69.79,57.42,89.95
49663,4254,Consumers Energy Co.,84.9,65.38,95.35
2053,1998,Boston Edison Co.,193.53,199.87,201.75
3774,3292,Central Vermont Public Service Corp.,117.59,81.45,129.78
1366,11804,Massachusetts Electric Co.,160.29,159.57,154.32
99111,20169,Avista Corp.,72.22,45.09,65.6
63901,19436,Union Electric Co.,56.56,41.72,69.64
50034,9162,Interstate Power & Light Co.,0,0,0
79758,A3483,Oncor Electric Delivery Co.,0,0,0
67546,10005,"KGE, A Westar Energy Co.",64.39,43.65,76.92
30434,7140,Georgia Power Co.,76.3,54.04,88.77
5086,7601,Green Mountain Power Corp.,109.59,75.73,132.56
47334,15470,"Duke Energy Indiana, Inc.",66.42,49.77,81.92
15478,20387,West Penn Power Co.,61.26,47.16,71.66
59068,12825,"Clark Fork & Blackfoot, LLC",83.97,62.87,89.42
77504,8901,"CenterPoint Energy Houston Electric, LLC",0,0,0
25106,733,Appalachian Power Co.,52.6,36.59,58.52
49042,4254,Consumers Energy Co.,84.9,65.38,95.35
29906,17539,South Carolina Electric & Gas Co.,78.48,50.81,98.64
54981,20856,Wisconsin Power & Light Co.,94.62,65.6,110.81
95721,14328,Pacific Gas and Electric Co.,138.5,104.03,146.13
54757,13780,Northern States Power Co. Wisconsin,72.11,53.77,92.67
83554,20169,Avista Corp.,72.22,45.09,65.6
38948,12685,"Entergy Mississippi, Inc.",102.61,80.37,105.3
14744,13573,"Niagara Mohawk, a National Grid Co.",143.48,183.05,149.78
15477,20387,West Penn Power Co.,61.26,47.16,71.66
53583,11479,Madison Gas & Electric Co.,89.03,61.22,134.86
47446,15470,"Duke Energy Indiana, Inc.",66.42,49.77,81.92
46240,9273,Indianapolis Power & Light Co.,78.31,55.76,72.34
2906,13214,Narragansett Electric Co.,136.93,127.63,150.98
62271,9208,Illinois Power Co.,73.39,46.63,77.12
68760,13809,"NorthWestern Energy, a Division of Northwestern Co",79.6,55.66,85.81
42321,10171,Kentucky Utilities Co.,57.83,45.19,60.29
16629,14711,Pennsylvania Electric Co.,78.89,58.78,90.82
21784,15263,Potomac Edison Co.,80.14,52.31,69.2
51630,12341,MidAmerican Energy Co.,65.04,40.61,86.15
63357,19436,Union Electric Co.,56.56,41.72,69.64
33606,18454,Tampa Electric Co.,96.85,76.54,109.71
72212,814,"Entergy Arkansas, Inc.",71.81,57.46,92.02
83604,9191,Idaho Power Co.,43.18,34.12,59.12
92672,16609,San Diego Gas & Electric Co.,144.57,111.44,168.89
8322,963,Atlantic City Electric Co.,128.04,108.74,137.77
33435,6452,Florida Power & Light Co.,106.06,88.71,119
54949,20856,Wisconsin Power & Light Co.,94.62,65.6,110.81
41719,22053,Kentucky Power Co.,67.59,42.47,64.98
20705,1167,Baltimore Gas & Electric Co.,115.95,100.28,85.21
50151,9162,Interstate Power & Light Co.,0,0,0
82637,14354,PacifiCorp.,59.39,40.36,69.43
99021,20169,Avista Corp.,72.22,45.09,65.6
65285,19436,Union Electric Co.,56.56,41.72,69.64
46229,9273,Indianapolis Power & Light Co.,78.31,55.76,72.34
70730,7806,"Entergy Gulf States, Inc.",100.28,76.33,110.31
36571,195,Alabama Power Co.,81.85,49.23,89.32
20895,15270,Potomac Electric Power Co.,116.6,0,116.65
53070,20847,Wisconsin Electric Power Co.,89.44,58.91,106.79
43718,14006,Ohio Power Co.,63.8,43.58,75.25
3246,15472,PSC of New Hampshire,136.75,128.88,151.42
23703,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
4947,3266,Central Maine Power Co.,129.63,0,144.58
46536,13756,Northern Indiana Public Service Co.,95.85,54.02,108.75
18461,14711,Pennsylvania Electric Co.,78.89,58.78,90.82
8628,15477,Public Service Electric and Gas Co.,112.66,78.12,127.91
57324,13809,"NorthWestern Energy, a Division of Northwestern Co",79.6,55.66,85.81
31823,7140,Georgia Power Co.,76.3,54.04,88.77
92506,17609,Southern California Edison Co.,144.53,119.66,157.72
83344,9191,Idaho Power Co.,43.18,34.12,59.12
12173,3249,Central Hudson Gas & Electric Corp.,101.2,76.59,128.26
29730,5416,Duke Power Co.,63.62,44.52,78.13
25932,733,Appalachian Power Co.,52.6,36.59,58.52
72572,814,"Entergy Arkansas, Inc.",71.81,57.46,92.02
15401,20387,West Penn Power Co.,61.26,47.16,71.66
78041,3278,AEP Texas Central Co.,0,0,0
4676,1179,Bangor Hydro-Electric Co.,0,0,0
80236,15466,PSC of Colorado,74.07,58.3,88.42
39573,12686,Mississippi Power Co.,81.56,51.04,101.26
95466,14328,Pacific Gas and Electric Co.,138.5,104.03,146.13
1537,11804,Massachusetts Electric Co.,160.29,159.57,154.32
39630,12685,"Entergy Mississippi, Inc.",102.61,80.37,105.3
95136,14328,Pacific Gas and Electric Co.,138.5,104.03,146.13
97846,9191,Idaho Power Co.,43.18,34.12,59.12
36108,195,Alabama Power Co.,81.85,49.23,89.32
12192,13573,"Niagara Mohawk, a National Grid Co.",143.48,183.05,149.78
76401,A3483,Oncor Electric Delivery Co.,0,0,0
21075,1167,Baltimore Gas & Electric Co.,115.95,100.28,85.21
15670,20387,West Penn Power Co.,61.26,47.16,71.66
24563,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
28651,5416,Duke Power Co.,63.62,44.52,78.13
17565,14715,PPL Electric Utilities Corp.,88.12,63.17,94.63
67583,22500,Westar Energy Inc.,0,0,0
8067,963,Atlantic City Electric Co.,128.04,108.74,137.77
61478,9208,Illinois Power Co.,73.39,46.63,77.12
12056,13573,"Niagara Mohawk, a National Grid Co.",143.48,183.05,149.78
73104,14063,Oklahoma Gas & Electric Co. (OG&E),66.14,48.58,80.16
76679,17699,TXU SESCO Co.,0,0,0
52726,12341,MidAmerican Energy Co.,65.04,40.61,86.15
25801,733,Appalachian Power Co.,52.6,36.59,58.52
63841,19436,Union Electric Co.,56.56,41.72,69.64
22572,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
48831,4254,Consumers Energy Co.,84.9,65.38,95.35
62914,10171,Kentucky Utilities Co.,57.83,45.19,60.29
15541,14711,Pennsylvania Electric Co.,78.89,58.78,90.82
48436,4254,Consumers Energy Co.,84.9,65.38,95.35
20405,15270,Potomac Electric Power Co.,116.6,0,116.65
57738,19545,Black Hills Power Inc.,74.6,47.79,80.97
38721,12685,"Entergy Mississippi, Inc.",102.61,80.37,105.3
23066,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
53048,20847,Wisconsin Electric Power Co.,89.44,58.91,106.79
46516,9324,Indiana Michigan Power Co.,60.17,43.52,67.29
40045,15470,"Duke Energy Indiana, Inc.",66.42,49.77,81.92
3801,3266,Central Maine Power Co.,129.63,0,144.58
33704,6455,Florida Power Corp.,95.25,83.1,117.91
1240,11804,Massachusetts Electric Co.,160.29,159.57,154.32
57455,12819,Montana Dakota Utilities Co.,0,0,0
16066,14716,Pennsylvania Power Co.,73.87,54.63,82.95
21161,1167,Baltimore Gas & Electric Co.,115.95,100.28,85.21
59701,12825,"Clark Fork & Blackfoot, LLC",83.97,62.87,89.42
95246,14328,Pacific Gas and Electric Co.,138.5,104.03,146.13
36877,195,Alabama Power Co.,81.85,49.23,89.32
23415,5027,Delmarva Power & Light Co.,103.72,58.26,118.69
38664,12685,"Entergy Mississippi, Inc.",102.61,80.37,105.3
95210,14328,Pacific Gas and Electric Co.,138.5,104.03,146.13
24459,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
67060,10005,"KGE, A Westar Energy Co.",64.39,43.65,76.92
71044,11241,"Entergy Louisiana, Inc.",93.77,63.43,92.2
33177,6452,Florida Power & Light Co.,106.06,88.71,119
89166,13407,Nevada Power Co.,98.43,86.03,108
33472,6452,Florida Power & Light Co.,106.06,88.71,119
3827,4148,"Unitil Energy Systems, Inc.",0,0,0
13690,13573,"Niagara Mohawk, a National Grid Co.",143.48,183.05,149.78
12754,13511,New York State Electric & Gas Corp.,122.51,72.49,137.79
78839,3278,AEP Texas Central Co.,0,0,0
93908,14328,Pacific Gas and Electric Co.,138.5,104.03,146.13
21060,1167,Baltimore Gas & Electric Co.,115.95,100.28,85.21
49629,4254,Consumers Energy Co.,84.9,65.38,95.35
92372,17609,Southern California Edison Co.,144.53,119.66,157.72
48630,4254,Consumers Energy Co.,84.9,65.38,95.35
45246,3542,Cincinnati Gas & Electric Co.,83.68,62.01,94.67
10535,4226,Consolidated Edison Co. Of New York Inc.,183.69,168.22,209
64762,10005,"KGE, A Westar Energy Co.",64.39,43.65,76.92
56297,13781,Northern States Power Co.,69.79,57.42,89.95
43065,13998,Ohio Edison Co.,100.63,59.53,104.78
15687,20387,West Penn Power Co.,61.26,47.16,71.66
45145,3542,Cincinnati Gas & Electric Co.,83.68,62.01,94.67
41539,22053,Kentucky Power Co.,67.59,42.47,64.98
58413,12819,Montana Dakota Utilities Co.,0,0,0
33322,6452,Florida Power & Light Co.,106.06,88.71,119
52001,20856,Wisconsin Power & Light Co.,94.62,65.6,110.81
61111,4110,Commonwealth Edison Co.,76.48,55.66,86.59
65633,5860,Empire District Electric Co.,74.74,56.59,83.94
42022,10171,Kentucky Utilities Co.,57.83,45.19,60.29
15739,14711,Pennsylvania Electric Co.,78.89,58.78,90.82
48762,4254,Consumers Energy Co.,84.9,65.38,95.35
29051,3046,Carolina Power & Light Co.,74.34,57.46,90.23
71674,814,"Entergy Arkansas, Inc.",71.81,57.46,92.02
49970,20847,Wisconsin Electric Power Co.,89.44,58.91,106.79
15923,14711,Pennsylvania Electric Co.,78.89,58.78,90.82
33629,18454,Tampa Electric Co.,96.85,76.54,109.71
8059,15477,Public Service Electric and Gas Co.,112.66,78.12,127.91
75418,40051,Texas-New Mexico Power Co.,115.08,59.11,111.25
43231,4062,Columbus Southern Power Co.,68.9,51.29,87.05
44062,3755,Cleveland Electric Illuminating Co.,111.47,66.68,107.92
44230,13998,Ohio Edison Co.,100.63,59.53,104.78
52040,9162,Interstate Power & Light Co.,0,0,0
15101,14716,Pennsylvania Power Co.,73.87,54.63,82.95
80813,12698,Aquila Inc.,68.63,52.06,84.81
16601,14711,Pennsylvania Electric Co.,78.89,58.78,90.82
93647,17609,Southern California Edison Co.,144.53,119.66,157.72
97869,9191,Idaho Power Co.,43.18,34.12,59.12
1053,11804,Massachusetts Electric Co.,160.29,159.57,154.32
28023,5416,Duke Power Co.,63.62,44.52,78.13
60629,4110,Commonwealth Edison Co.,76.48,55.66,86.59
93030,17609,Southern California Edison Co.,144.53,119.66,157.72
24522,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
53522,4110,Commonwealth Edison Co.,76.48,55.66,86.59
61569,3252,Central Illinois Light Co.,65.82,52,69.39
16740,14711,Pennsylvania Electric Co.,78.89,58.78,90.82
23874,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
61332,4110,Commonwealth Edison Co.,76.48,55.66,86.59
13661,13573,"Niagara Mohawk, a National Grid Co.",143.48,183.05,149.78
43468,18997,Toledo Edison Co.,104.33,44.25,108.58
13219,13573,"Niagara Mohawk, a National Grid Co.",143.48,183.05,149.78
45458,3542,Cincinnati Gas & Electric Co.,83.68,62.01,94.67
45227,3542,Cincinnati Gas & Electric Co.,83.68,62.01,94.67
79911,5701,El Paso Electric Co.,102.73,68.45,120.86
51027,12341,MidAmerican Energy Co.,65.04,40.61,86.15
48202,5109,Detroit Edison Co.,85.32,59.4,102.07
22043,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
12839,13573,"Niagara Mohawk, a National Grid Co.",143.48,183.05,149.78
3243,15472,PSC of New Hampshire,136.75,128.88,151.42
60513,4110,Commonwealth Edison Co.,76.48,55.66,86.59
1247,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
